"x","y"
441.663864659295,520.534705361166
502.965631072329,470.950571553391
455.528241854621,425.878372968972
359.073544328768,458.932205224466
430.392333414265,506.361212434015
356.290858303286,370.408854890669
359.347377359849,491.222847282168
341.623006526808,494.309994334153
343.26712735194,419.070355430337
337.423847006824,380.697470600212
514.909819332134,506.266876139031
291.238599077145,405.109392976712
479.757851499057,452.91615574303
331.90109492399,505.887260125395
389.760156182945,426.607730423192
267.438549043592,389.707554719962
513.904888922801,450.242116245721
279.891737390458,370.614601245453
423.749072834407,441.920365904201
498.377730551903,506.063079074182
300.561402749906,496.49972491408
428.633607241967,507.751085400779
363.347099884488,469.302639507047
316.914338453918,480.820926407375
244.872872332929,486.096704253959
486.752160213382,471.19635827705
425.438827440014,395.036224856462
421.389874194284,430.818424112274
457.27039900103,408.47375793141
376.469594408742,481.468215253571
397.945064159349,452.079579724559
373.626986608577,475.502531541474
257.591345954711,522.000082995438
253.608818464926,472.220207058183
483.207439188594,401.596845495288
